,Frozen Layers,Initial LR,LR Decay,Max Epochs,Batch Size,Train Loss,Train Accuracy,Train AUC,Val Loss,Val Accuracy,Val AUC
16,130.0,0.08515294233708888,0.8450378991151442,7.0,64.0,0.14920607209205627,0.9422250390052797,0.9930700063705444,0.271725594997406,0.9020978808403016,0.9788200855255128
17,130.0,0.08740950688384053,0.8782012803905154,7.0,64.0,0.13728371262550354,0.9486699104309082,0.9937068223953248,0.2817220091819763,0.9020978808403016,0.9786052107810974
18,130.0,0.019035071537985962,0.9373831420442128,7.0,64.0,0.037140961736440666,0.9884358644485474,0.999313473701477,0.2658738493919373,0.9189633727073668,0.9827718734741212
19,130.0,0.08777262958187397,0.9975566295832964,7.0,64.0,0.3916217386722565,0.8660297989845276,0.966349482536316,0.5018113851547241,0.8424516916275024,0.9521391987800598
20,121.0,0.0017721244631333903,0.7338931459055392,7.0,64.0,0.001230392954312265,0.9999085664749146,0.999930739402771,0.3010185956954956,0.9350061416625977,0.9812532663345337
21,133.0,0.001025693740274497,0.7818901527213564,7.0,64.0,0.0015835901722311974,0.9999085664749146,0.9999310970306396,0.27772313356399536,0.9317153692245483,0.9824232459068298
22,121.0,0.0030077606101537794,0.7651452797500918,7.0,64.0,0.0018343609990552068,0.9999085664749146,0.9999297857284546,0.3178641200065613,0.9284245371818542,0.9794672727584839
23,134.0,0.0022434915879530537,0.7881410184810258,7.0,64.0,0.0016714173834770918,0.9999085664749146,0.9999311566352844,0.27644386887550354,0.9321267008781433,0.9812330603599548
24,125.0,0.003214435160746601,0.8306670842663827,7.0,64.0,0.0016413721023127437,0.9999085664749146,0.9999635219573975,0.32933181524276733,0.9276018142700195,0.9784011244773865
25,125.0,0.003322106122435024,0.8437686126552337,7.0,64.0,0.004886183422058821,0.9993143677711487,0.9999279975891113,0.34955382347106934,0.9177293181419373,0.9767296314239502
26,134.0,0.0017300995601423068,0.701344179105585,7.0,64.0,0.0007111503509804606,0.9999085664749146,0.999965488910675,0.2677322030067444,0.933772087097168,0.9833084344863892
27,122.0,0.002907654424378264,0.7365663054721778,7.0,64.0,0.0013055026065558195,0.9999542832374573,0.9999647736549377,0.3108961284160614,0.9296585917472839,0.9787407517433167
28,125.0,0.0021779155671793958,0.7827025029632216,7.0,64.0,0.001558596035465598,0.9999085664749146,0.9999301433563232,0.3214435875415802,0.9271904826164246,0.9804184436798096
29,134.0,0.0027785504121361597,0.7965639334498577,7.0,64.0,0.001354012405499816,0.9999085664749146,0.9999310374259949,0.2782038748264313,0.9378856420516968,0.982601523399353
30,129.0,0.002080668230008529,0.8186915710221064,7.0,64.0,0.002961923135444522,0.9996800422668457,0.9999292492866516,0.292207807302475,0.933360755443573,0.9804949164390564
31,133.0,0.0027400762973387154,0.7209507421611732,7.0,64.0,0.001149575226008892,0.9999085664749146,0.9999651312828064,0.2978244721889496,0.9321267008781433,0.9815869927406311
32,120.0,0.0011520942089523864,0.7244785611773604,7.0,64.0,0.0011449923040345311,0.9999085664749146,0.9999309778213501,0.29873695969581604,0.932949423789978,0.9801672101020813
33,128.0,0.0016994333465029793,0.8207149465135762,7.0,64.0,0.0011357926996424794,0.9999085664749146,0.9999308586120605,0.291163831949234,0.9358288645744324,0.9807584881782532
34,125.0,0.002118793517264211,0.7627671937263775,7.0,64.0,0.0010096076875925064,0.9999085664749146,0.9999651312828064,0.3091091811656952,0.9251337051391602,0.9818969964981079
35,123.0,0.002303365015272805,0.7465654863309061,7.0,64.0,0.0012713066535070539,0.9999542832374573,0.9999648332595825,0.33364754915237427,0.9197860956192017,0.9764129519462585
36,127.0,0.002295512359315104,0.7724903311304745,7.0,64.0,0.0012461112346500158,0.9999085664749146,0.9999653100967407,0.2841537892818451,0.933360755443573,0.9797924757003784
37,134.0,0.0039669203697055445,0.7946918082717254,7.0,64.0,0.3777531087398529,0.930066704750061,0.978568971157074,1.082859754562378,0.8552036285400391,0.9373857975006104
38,124.0,0.001352334575145596,0.7541883694958011,7.0,64.0,0.0014779308112338185,0.9999085664749146,0.9999305009841919,0.2975730001926422,0.933360755443573,0.9816491603851318
39,129.0,0.001615759405903883,0.7392190884133627,7.0,64.0,0.0008965493179857731,0.9999085664749146,0.999965488910675,0.29488348960876465,0.9284245371818542,0.9812839031219482
